TemperaturaMaxC,TemperaturaPromC,TemperaturaMinC,HumedadMax,HumedadProm,HumedadMin,VientoMaxKMXH,VientoPromKMXH,PrecipitacionMM,Eventos
8.333333333,3.888888889,-0.555555556,89,61,33,32.18688,16.09344,3.302,7
21.11111111,15,8.888888889,72,51,30,27.358848,12.874752,3.81,7
32,24,17,89,51,14,47,10,4.06,7
16,12,9,100,84,38,32,14,4.06,7
39.44444444,30.55555556,21.66666667,100,65,29,37.014912,4.828032,4.064,7
25.55555556,21.66666667,17.77777778,93,77,60,24.14016,11.265408,4.064,7
32.77777778,26.66666667,20,100,76,52,19.312128,1.609344,4.318,7
31.11111111,26.11111111,21.11111111,100,78,55,22.530816,9.656064,4.572,7
36.11111111,30,23.33333333,94,67,39,20.921472,4.828032,4.826,7
31.66666667,27.77777778,23.33333333,100,78,55,25.749504,6.437376,4.826,7
30.55555556,25.55555556,20.55555556,94,80,65,24.14016,9.656064,5.08,7
27.77777778,23.33333333,18.33333333,100,83,65,32.18688,8.04672,5.08,7
16.11111111,13.88888889,11.11111111,96,76,55,19.312128,8.04672,5.08,7
6.111111111,5,3.333333333,100,95,89,19.312128,8.04672,5.08,7
35,27,19,88,50,14,35,11,5.08,7
27,21,15,100,55,21,39,8,5.08,7
18,13,9,94,71,27,47,13,5.08,7
31.66666667,27.77777778,23.33333333,100,78,55,12.874752,4.828032,5.588,7
31.11111111,26.66666667,21.66666667,93,73,53,24.14016,4.828032,5.588,7
28.33333333,24.44444444,20,90,74,58,27.358848,14.484096,5.588,7
33.33333333,27.77777778,21.66666667,94,69,44,19.312128,6.437376,6.096,7
32,24,18,68,41,12,39,10,6.1,7
29,23,18,88,46,22,63,14,6.1,7
13,11,8,100,71,35,42,14,6.1,7
32.77777778,26.11111111,18.88888889,93,75,56,27.358848,12.874752,6.858,7
31.11111111,25.55555556,20,88,75,61,25.749504,6.437376,6.858,7
22.22222222,16.66666667,11.11111111,93,69,44,40.2336,4.828032,6.858,7
17,12,7,100,89,64,19,5,7.11,7
26.11111111,24.44444444,22.77777778,93,88,82,20.921472,9.656064,7.366,7
28.88888889,26.66666667,23.88888889,100,90,79,19.312128,4.828032,7.62,7
21.11111111,17.77777778,14.44444444,97,78,58,14.484096,1.609344,7.62,7
2.222222222,1.111111111,0,100,76,52,12.874752,4.828032,7.62,7
20,18,16,100,83,59,29,11,7.87,7
35,28.88888889,22.77777778,93,68,43,24.14016,6.437376,7.874,7
31.66666667,25.55555556,18.88888889,93,67,40,20.921472,8.04672,7.874,7
38.33333333,30.55555556,22.22222222,100,69,37,41.842944,4.828032,8.382,7
32.77777778,27.22222222,21.66666667,100,72,44,24.14016,8.04672,8.382,7
31.66666667,27.22222222,22.22222222,94,75,56,20.921472,8.04672,8.382,7
30.55555556,24.44444444,18.33333333,87,76,65,28.968192,9.656064,8.382,7
22.22222222,19.44444444,16.66666667,100,94,87,16.09344,6.437376,8.636,7
18.88888889,15,10.55555556,72,57,42,33.796224,12.874752,8.636,7
32.77777778,28.33333333,23.88888889,94,75,56,22.530816,4.828032,8.89,7
28.88888889,26.11111111,22.77777778,94,78,62,20.921472,6.437376,8.89,7
25,21.66666667,18.33333333,100,87,74,19.312128,9.656064,8.89,7
36,28,20,94,44,16,58,14,8.89,7
16,13,9,100,90,62,61,19,8.89,7
28.88888889,24.44444444,20,100,76,51,16.09344,6.437376,9.144,7
25,22.22222222,19.44444444,100,87,74,20.921472,6.437376,9.144,7
21.66666667,18.33333333,15,100,87,73,14.484096,4.828032,9.144,7
26.11111111,23.33333333,20,94,78,62,19.312128,8.04672,10.16,7
22.77777778,17.77777778,11.11111111,100,79,38,24.14016,8.04672,10.16,7
28.33333333,22.22222222,15.55555556,93,70,47,27.358848,8.04672,10.414,7
23.88888889,21.66666667,18.88888889,93,81,69,19.312128,6.437376,10.414,7
14,11,8,100,70,39,34,16,10.92,7
29.44444444,25,20.55555556,100,85,69,22.530816,8.04672,10.922,7
26.66666667,24.44444444,21.66666667,100,91,82,33.796224,9.656064,10.922,7
23.33333333,15.55555556,7.222222222,93,75,57,32.18688,6.437376,11.684,7
34.44444444,26.66666667,18.88888889,93,73,52,28.968192,6.437376,11.938,7
24.44444444,20.55555556,16.66666667,97,83,69,20.921472,8.04672,12.446,7
20.55555556,18.88888889,16.66666667,100,92,84,16.09344,6.437376,12.446,7
16,13,10,100,86,50,40,14,12.95,7
35.55555556,27.22222222,18.88888889,94,67,39,24.14016,8.04672,12.954,7
13.33333333,11.11111111,8.333333333,100,93,86,14.484096,6.437376,12.954,7
32.22222222,26.11111111,20,93,76,59,25.749504,11.265408,13.208,7
32.22222222,24.44444444,16.66666667,93,54,15,25.749504,8.04672,13.716,7
30,25,20,91,78,65,22.530816,6.437376,13.97,7
29.44444444,23.33333333,17.22222222,100,66,32,27.358848,6.437376,14.224,7
27.22222222,21.66666667,15.55555556,93,72,51,32.18688,6.437376,14.732,7
13.88888889,11.66666667,8.888888889,100,89,77,20.921472,11.265408,14.986,7
22.77777778,16.66666667,10.55555556,100,87,73,27.358848,8.04672,15.494,7
4.444444444,2.777777778,1.111111111,100,82,64,14.484096,8.04672,16.002,7
31.66666667,25,17.77777778,100,76,51,33.796224,8.04672,17.018,7
25.55555556,21.11111111,16.66666667,93,74,54,22.530816,9.656064,17.018,7
25,19.44444444,13.88888889,93,74,54,25.749504,9.656064,18.034,7
28.88888889,22.22222222,15.55555556,100,62,24,24.14016,8.04672,18.542,7
28.33333333,25.55555556,22.77777778,94,87,79,16.09344,6.437376,18.796,7
15,11.11111111,6.666666667,93,88,83,22.530816,6.437376,18.796,7
38.88888889,31.66666667,24.44444444,94,66,37,33.796224,4.828032,19.304,7
16.66666667,10.55555556,3.888888889,100,74,48,22.530816,4.828032,19.304,7
27.22222222,22.22222222,17.22222222,100,87,74,14.484096,3.218688,19.558,7
19.44444444,13.88888889,8.333333333,93,80,66,32.18688,14.484096,21.844,7
25,21.66666667,18.33333333,100,82,64,25.749504,6.437376,22.606,7
28.88888889,25.55555556,21.66666667,100,90,79,24.14016,4.828032,23.368,7
19.44444444,16.11111111,12.77777778,93,73,52,25.749504,12.874752,23.876,7
33.88888889,28.88888889,23.33333333,100,74,47,16.09344,4.828032,26.67,7
32.77777778,27.77777778,22.22222222,100,74,47,24.14016,3.218688,27.178,7
27.77777778,23.88888889,19.44444444,100,85,69,22.530816,4.828032,27.178,7
23,18,13,100,68,35,39,10,27.94,7
21.11111111,17.77777778,14.44444444,100,80,59,33.796224,6.437376,28.448,7
23.88888889,20.55555556,17.22222222,100,87,73,20.921472,6.437376,28.702,7
22.77777778,20,16.66666667,93,83,73,24.14016,11.265408,30.226,7
28.88888889,23.88888889,18.88888889,93,77,61,24.14016,6.437376,30.988,7
22.77777778,12.77777778,2.222222222,93,89,84,33.796224,16.09344,33.528,7
16.11111111,12.22222222,8.333333333,93,76,59,37.014912,14.484096,33.782,7
33.33333333,26.66666667,20,79,68,56,38.624256,12.874752,37.846,7
25.55555556,23.88888889,22.22222222,100,87,74,22.530816,4.828032,38.608,7
23.88888889,21.11111111,17.77777778,93,83,73,27.358848,8.04672,39.624,7
29.44444444,23.88888889,18.33333333,93,74,55,16.09344,4.828032,40.894,7
21.66666667,18.33333333,15,100,92,84,24.14016,12.874752,55.372,7
24.44444444,20.55555556,16.11111111,100,84,68,24.14016,8.04672,57.15,7
28.88888889,23.88888889,18.88888889,100,83,65,35.405568,8.04672,66.04,7
4,-2,-7,100,91,65,19,5,0,6
2,-1,-4,100,90,75,8,3,0,6
1,-2,-5,100,92,75,14,5,0,6
1,-1,-2,100,91,69,11,6,0,6
6,3,1,100,92,75,26,8,0,6
8,3,-2,100,76,42,29,8,0.76,6
5,3,2,87,71,50,29,16,0.76,6
13.33333333,5.555555556,-2.777777778,78,64,50,32.18688,14.484096,1.524,6
15,12,8,100,83,53,39,19,2.03,6
10,8,5,100,86,57,23,11,3.05,6
5,2,-1,100,83,44,24,16,3.05,6
7,3,0,100,68,31,40,16,5.08,6
6,3,1,100,83,43,27,14,8.89,6
29,22,16,64,40,30,34,8,0,5
30.55555556,25,19.44444444,100,74,48,22.530816,4.828032,0,4
7,2,-3,100,84,45,34,6,0.25,4
21.11111111,13.88888889,6.666666667,100,85,70,19.312128,4.828032,0.254,4
20,15.55555556,11.11111111,100,74,47,11.265408,1.609344,0.254,4
17.22222222,11.11111111,5,100,95,90,12.874752,1.609344,0.254,4
10,5.555555556,1.111111111,100,91,82,27.358848,9.656064,0.254,4
19.44444444,15,10,100,91,81,22.530816,6.437376,0.508,4
15,11,7,100,87,61,37,8,0.51,4
13,7,0,100,88,59,35,8,0.51,4
13,10,7,100,87,64,37,19,0.76,4
23.33333333,20,16.66666667,93,81,68,19.312128,6.437376,1.778,4
16,12,8,100,89,53,16,5,2.03,4
11,8,5,100,89,66,14,8,2.03,4
11,9,6,100,74,29,29,10,2.03,4
8,5,2,100,96,82,10,3,2.03,4
4,2,1,100,98,81,14,5,2.03,4
28.88888889,25.55555556,21.66666667,84,69,54,22.530816,9.656064,4.826,4
13,9,5,100,87,57,23,8,7.11,4
23.33333333,20,16.66666667,100,90,79,20.921472,8.04672,8.382,4
13,11,9,100,67,39,50,19,8.89,4
7,4,2,100,94,85,13,5,9.91,4
19,16,13,100,93,73,13,6,12.95,4
17.22222222,15.55555556,13.33333333,100,79,57,27.358848,12.874752,13.462,4
25.55555556,19.44444444,13.33333333,100,74,48,22.530816,11.265408,16.51,4
21.66666667,17.77777778,13.88888889,93,89,84,24.14016,6.437376,29.718,4
25.55555556,20.55555556,15,97,85,73,22.530816,8.04672,36.068,4
23.33333333,14.44444444,5,100,94,87,24.14016,11.265408,37.084,4
24,22,19,100,74,42,37,16,0.25,3
22,16,9,88,59,26,19,6,0.25,3
20,17,14,100,83,52,16,6,0.25,3
18,12,7,100,85,50,13,5,0.25,3
17,13,11,94,74,36,34,16,0.25,3
17,13,9,94,75,43,37,19,0.25,3
16,11,7,100,79,48,19,6,0.25,3
16,13,10,100,82,57,47,19,0.25,3
14,10,6,100,80,41,29,11,0.25,3
14,11,8,100,85,61,29,14,0.25,3
14,10,5,87,66,44,24,16,0.25,3
13,7,2,100,81,51,26,3,0.25,3
13,9,6,100,82,47,13,6,0.25,3
13,9,4,93,73,36,19,8,0.25,3
12,11,9,100,92,75,13,5,0.25,3
12,10,7,100,90,70,14,6,0.25,3
12,6,0,100,73,36,19,6,0.25,3
12,7,3,100,82,51,27,8,0.25,3
12,9,5,81,48,18,35,18,0.25,3
11,6,0,100,86,59,21,6,0.25,3
10,6,1,93,81,64,39,6,0.25,3
9,6,3,100,91,71,13,5,0.25,3
9,6,3,100,69,42,32,19,0.25,3
8,6,4,100,62,36,35,18,0.25,3
7,3,-1,100,88,60,19,6,0.25,3
20,16,11,76,46,19,35,18,0.25,3
19,13,8,87,58,34,26,16,0.25,3
15,12,9,94,77,58,32,21,0.25,3
12,10,8,100,78,40,23,6,0.25,3
12,9,7,88,51,26,52,31,0.25,3
38.33333333,32.22222222,26.11111111,91,62,33,25.749504,11.265408,0.254,3
36.66666667,31.11111111,25.55555556,91,66,40,27.358848,12.874752,0.254,3
33.88888889,28.88888889,23.88888889,88,70,52,20.921472,9.656064,0.254,3
32.77777778,28.88888889,24.44444444,88,68,47,20.921472,9.656064,0.254,3
36.11111111,30.55555556,24.44444444,94,71,48,24.14016,11.265408,0.254,3
32.77777778,27.22222222,21.66666667,100,75,50,32.18688,4.828032,0.254,3
31.11111111,27.22222222,22.77777778,100,78,55,19.312128,9.656064,0.254,3
31.11111111,26.66666667,21.66666667,94,76,57,24.14016,11.265408,0.254,3
30.55555556,26.11111111,21.66666667,93,74,55,22.530816,12.874752,0.254,3
29.44444444,25.55555556,21.66666667,93,84,74,22.530816,11.265408,0.254,3
27.77777778,22.22222222,16.11111111,100,78,55,25.749504,12.874752,0.254,3
25.55555556,20.55555556,15,93,68,43,14.484096,3.218688,0.254,3
25,21.11111111,17.22222222,100,82,64,14.484096,4.828032,0.254,3
24.44444444,21.11111111,17.77777778,87,76,64,33.796224,17.702784,0.254,3
23.88888889,20.55555556,17.22222222,100,82,64,19.312128,8.04672,0.254,3
23.88888889,21.11111111,18.33333333,100,92,84,25.749504,11.265408,0.254,3
23.88888889,22.77777778,21.11111111,90,85,79,27.358848,14.484096,0.254,3
23.33333333,17.77777778,11.66666667,100,83,66,19.312128,8.04672,0.254,3
22.77777778,18.33333333,13.88888889,86,69,52,22.530816,11.265408,0.254,3
21.66666667,20,18.33333333,93,86,79,14.484096,4.828032,0.254,3
21.66666667,16.11111111,10,84,69,53,19.312128,4.828032,0.254,3
21.11111111,14.44444444,8.888888889,100,85,44,19.312128,4.828032,0.254,3
19.44444444,13.88888889,7.777777778,84,68,52,24.14016,6.437376,0.254,3
18.88888889,10.55555556,2.222222222,93,79,64,27.358848,14.484096,0.254,3
18.33333333,15.55555556,12.22222222,83,66,48,12.874752,4.828032,0.254,3
17.77777778,12.22222222,6.111111111,100,66,32,35.405568,11.265408,0.254,3
17.22222222,9.444444444,1.666666667,100,64,27,20.921472,4.828032,0.254,3
16.66666667,12.77777778,8.333333333,93,85,77,28.968192,11.265408,0.254,3
2.777777778,1.111111111,-1.111111111,92,87,82,27.358848,14.484096,0.254,3
2.222222222,1.111111111,-0.555555556,92,72,52,20.921472,11.265408,0.254,3
26.11111111,20.55555556,14.44444444,100,78,56,22.530816,9.656064,0.508,3
36.11111111,30.55555556,25,91,63,35,20.921472,6.437376,0.508,3
33.33333333,29.44444444,25,91,68,44,25.749504,14.484096,0.508,3
32.22222222,28.33333333,23.88888889,87,67,47,20.921472,8.04672,0.508,3
29.44444444,25,20,97,74,51,27.358848,3.218688,0.508,3
28.33333333,25.55555556,22.77777778,87,81,74,27.358848,14.484096,0.508,3
26.11111111,22.77777778,19.44444444,90,76,62,11.265408,6.437376,0.508,3
25,20.55555556,16.11111111,93,81,69,14.484096,6.437376,0.508,3
24.44444444,20,15,87,62,37,22.530816,4.828032,0.508,3
22.77777778,17.22222222,11.11111111,96,73,49,20.921472,8.04672,0.508,3
22.77777778,15,6.666666667,100,77,53,27.358848,11.265408,0.508,3
20.55555556,17.77777778,15,100,78,56,16.09344,6.437376,0.508,3
20.55555556,17.77777778,14.44444444,100,76,52,20.921472,9.656064,0.508,3
18.88888889,13.88888889,8.333333333,93,75,56,12.874752,1.609344,0.508,3
15.55555556,8.333333333,1.111111111,66,44,21,33.796224,14.484096,0.508,3
13.33333333,8.333333333,2.777777778,93,80,66,32.18688,11.265408,0.508,3
12.77777778,7.222222222,1.666666667,79,69,59,28.968192,17.702784,0.508,3
10.55555556,9.444444444,8.333333333,100,77,54,14.484096,1.609344,0.508,3
8.888888889,6.666666667,4.444444444,100,72,43,16.09344,6.437376,0.508,3
7.222222222,5.555555556,3.333333333,100,95,89,16.09344,6.437376,0.508,3
3.333333333,2.222222222,1.111111111,70,62,54,20.921472,9.656064,0.508,3
25,17,8,77,54,28,35,11,0.51,3
23,18,13,88,52,25,35,16,0.51,3
22,19,17,100,81,62,21,14,0.51,3
20,16,11,82,50,13,32,19,0.51,3
19,16,11,94,62,30,34,19,0.51,3
18,14,9,100,86,68,19,6,0.51,3
18,16,13,100,79,52,19,6,0.51,3
17,9,2,100,74,26,16,6,0.51,3
17,13,9,94,73,43,29,19,0.51,3
16,13,11,100,93,73,21,5,0.51,3
16,12,9,100,81,49,35,16,0.51,3
15,8,2,100,78,34,27,8,0.51,3
15,12,9,94,84,70,19,13,0.51,3
14,12,9,94,70,44,29,10,0.51,3
13,10,8,100,79,52,21,10,0.51,3
13,11,8,87,72,45,23,14,0.51,3
13,10,7,93,79,54,39,19,0.51,3
12,6,0,100,87,51,23,6,0.51,3
12,8,4,100,80,51,16,10,0.51,3
12,8,5,94,78,56,47,21,0.51,3
12,9,7,100,79,44,37,23,0.51,3
11,8,6,87,66,48,23,10,0.51,3
11,7,3,71,59,38,42,23,0.51,3
10,7,4,93,72,44,39,19,0.51,3
10,8,6,93,76,45,37,23,0.51,3
10,8,5,100,76,54,37,24,0.51,3
9,6,3,100,84,51,23,13,0.51,3
9,7,4,94,62,35,47,29,0.51,3
8,5,2,100,92,75,11,5,0.51,3
24,18,12,100,62,26,24,10,0.51,3
19,14,9,88,66,47,35,18,0.51,3
27,22,17,94,60,23,32,13,0.76,3
26,21,16,94,67,22,32,13,0.76,3
25,19,13,82,63,35,27,11,0.76,3
21,18,14,72,48,20,29,14,0.76,3
17,15,13,94,76,47,29,21,0.76,3
13,12,11,100,84,63,32,24,0.76,3
12,7,2,100,83,56,24,10,0.76,3
12,9,6,100,55,21,24,14,0.76,3
11,8,4,94,86,70,29,10,0.76,3
18,13,9,76,61,35,13,5,0.76,3
33.88888889,29.44444444,24.44444444,94,73,52,22.530816,8.04672,0.762,3
25,21.11111111,16.66666667,100,91,82,16.09344,6.437376,0.762,3
25,22.77777778,20,100,88,76,22.530816,11.265408,0.762,3
18.88888889,16.11111111,12.77777778,97,87,77,16.09344,6.437376,0.762,3
18.88888889,12.22222222,5,93,79,65,25.749504,12.874752,0.762,3
9.444444444,6.111111111,2.777777778,92,74,56,12.874752,4.828032,0.762,3
34.44444444,28.88888889,23.33333333,100,75,49,20.921472,3.218688,1.016,3
33.88888889,28.88888889,23.88888889,94,72,49,20.921472,9.656064,1.016,3
32.77777778,28.33333333,23.88888889,94,75,56,20.921472,6.437376,1.016,3
19.44444444,16.66666667,13.88888889,97,85,73,14.484096,8.04672,1.016,3
17.22222222,15,12.77777778,93,75,56,16.09344,6.437376,1.016,3
8.333333333,7.222222222,5.555555556,96,91,86,14.484096,6.437376,1.016,3
37,29,21,57,29,9,27,8,1.02,3
35,28,20,53,32,8,37,11,1.02,3
23,17,11,94,63,41,27,16,1.02,3
22,16,9,100,73,42,13,6,1.02,3
22,19,16,88,58,28,26,10,1.02,3
22,18,14,82,60,34,26,10,1.02,3
21,17,14,100,83,49,16,6,1.02,3
21,16,12,100,88,68,32,8,1.02,3
18,14,11,94,73,38,26,18,1.02,3
17,14,11,100,82,56,14,5,1.02,3
16,13,10,94,80,55,23,6,1.02,3
14,10,6,93,72,51,14,8,1.02,3
14,10,7,100,79,46,35,10,1.02,3
14,10,5,93,76,41,37,11,1.02,3
13,12,11,100,82,63,21,10,1.02,3
13,12,11,100,89,74,26,18,1.02,3
12,9,6,100,81,60,26,13,1.02,3
12,7,3,100,81,55,32,19,1.02,3
11,7,3,93,71,51,27,11,1.02,3
11,8,6,100,82,66,45,14,1.02,3
10,8,7,94,81,69,23,14,1.02,3
10,8,6,100,82,54,26,16,1.02,3
9,6,3,100,93,76,10,5,1.02,3
9,7,4,87,68,33,35,19,1.02,3
9,7,4,94,59,29,48,29,1.02,3
8,4,1,100,86,66,35,14,1.02,3
21,17,13,72,54,30,23,11,1.02,3
27.77777778,23.33333333,18.33333333,87,71,54,24.14016,14.484096,1.27,3
4.444444444,0.555555556,-3.333333333,81,60,39,25.749504,8.04672,1.27,3
33.88888889,27.77777778,21.66666667,94,68,41,28.968192,9.656064,1.27,3
28.33333333,22.22222222,15.55555556,90,68,45,27.358848,9.656064,1.27,3
21.11111111,16.66666667,12.22222222,93,62,31,32.18688,16.09344,1.27,3
3.888888889,0.555555556,-2.777777778,69,48,27,24.14016,9.656064,1.27,3
33.88888889,28.88888889,23.88888889,100,76,52,16.09344,8.04672,1.524,3
32.77777778,27.77777778,22.77777778,94,75,56,25.749504,8.04672,1.524,3
28.88888889,26.11111111,22.77777778,84,75,65,27.358848,12.874752,1.524,3
19.44444444,16.66666667,13.33333333,97,85,72,16.09344,6.437376,1.524,3
18.88888889,16.66666667,14.44444444,100,94,87,19.312128,4.828032,1.524,3
12.77777778,9.444444444,5.555555556,100,92,83,12.874752,3.218688,1.524,3
24.44444444,20,15,93,85,76,19.312128,3.218688,1.778,3
23.88888889,19.44444444,15,97,75,53,12.874752,4.828032,1.778,3
23.33333333,20,16.11111111,100,82,64,22.530816,9.656064,1.778,3
13.33333333,11.11111111,8.333333333,100,92,83,12.874752,6.437376,1.778,3
18,12,6,94,73,43,27,8,2.03,3
17,14,12,100,88,67,24,10,2.03,3
15,12,9,100,88,64,39,26,2.03,3
14,9,4,100,82,44,26,8,2.03,3
14,11,9,100,89,71,45,23,2.03,3
14,10,5,87,54,26,52,29,2.03,3
13,9,6,94,86,67,24,10,2.03,3
13,10,7,100,81,66,24,14,2.03,3
13,9,5,100,63,21,39,14,2.03,3
13,10,8,93,70,42,34,21,2.03,3
13,10,7,100,77,47,34,23,2.03,3
12,11,11,100,84,55,11,5,2.03,3
12,9,6,100,82,53,29,14,2.03,3
11,9,7,100,92,82,13,8,2.03,3
11,7,3,100,74,38,21,13,2.03,3
10,8,6,100,66,32,34,21,2.03,3
9,4,-1,100,88,56,8,3,2.03,3
9,8,7,100,94,77,16,10,2.03,3
9,6,3,100,79,60,27,16,2.03,3
8,4,2,100,76,40,23,6,2.03,3
